Micro,Small,Medium
2884,111,6
115320,5799,422
1201,53,6
41051,2182,200
167835,3908,245
9010,687,76
58905,2726,257
2511,98,3
892,35,2
106599,10080,1399
8963,428,40
283123,12067,1164
147956,7231,582
21730,613,26
47434,1145,62
74753,2357,170
248728,10468,987
98110,5305,397
1652,32,0
114,0,0
194520,6634,397
962520,25367,2797
10051,175,9
1286,89,11
2002,52,8
1757,23,2
87502,3798,281
6702,266,22
141714,5021,337
328406,8952,616
1073,39,8
431053,13954,1050
150812,6783,713
3556,163,9
326045,11567,914
39722,1237,79
111856,7657,772
